"TransportationMode" "ClassOfWorker" "Sex" "MaritalStatus" "HealthInsurance" "EducationLevel" "HomeOffice" "AgeBracket" "OccupationType" "RelativeIncome" "CommuteTime"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Design" "Somewhere In The Middle" "No"
"Biking" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "IT" "Very High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Education" "Somewhere In The Middle" "No"
NA NA "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "18-29" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Rather High" "No"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" NA "Rather Low" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Rather High" "No"
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather High" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
NA "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Research" "Very Low" NA
"Walking" "Employee" "Male" "Married" "No Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Research" "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Research" "Rather High" "No"
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" NA "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" NA
NA NA "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Design" "Somewhere In The Middle" "No"
"Biking" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very Low" "No"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very High" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "No"
NA NA "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Education" "Very Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" "Other" "Rather Low" NA
NA "Employee" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "PR, Marketing, Sales, Advertising" "Very Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA "Employee" "Female" "Married" "No Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Married" "No Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Business Development" "Very High" "No"
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
NA "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" NA
"Driving" "Entrepreneur" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Business Development" "Rather High" "No"
NA "Entrepreneur" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Business Development" "Somewhere In The Middle" NA
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Business Development" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" "No"
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "No"
"Driving" "Freelancer" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "No Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Rather Low" "No"
NA "Employee" "Female" "Married" "No Health Insurance" "High School" "Not Home Office" "40-49" "PR, Marketing, Sales, Advertising" "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
NA "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Very Low" NA
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Business Development" "Somewhere In The Middle" "No"
"Driving" "Entrepreneur" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Business Development" "Somewhere In The Middle" "No"
"Public Transit" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Other" "Very High" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Very Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA NA "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" "Other" "Rather Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Freelancer" "Male" "Not Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather High" "No"
NA "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Business Development" "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" "Education" "Rather High" "No"
NA NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "No"
NA "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Public Transit" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Business Development" "Rather High" NA
"Public Transit" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Education" "Rather Low" "No"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Walking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" "Other" "Rather High" "No"
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
NA "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "No"
NA "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" NA
"Home Office" "Entrepreneur" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Home Office" "60+" "Business Development" "Somewhere In The Middle" "Yes"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "IT" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Business Development" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Rather High" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "No"
"Home Office" "Employee" "Female" "Not Married" "No Health Insurance" "High School" "Home Office" "18-29" "Other" "Very Low" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Higher Management" "Rather High" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Higher Management" "Rather High" "No"
